Fri Aug  8 10:52:33 2025    morgan/output.prof

         22111613 function calls (21385925 primitive calls) in 126.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60091    0.024    0.000    0.094    0.000 /opt/conda/envs/ml/lib/python3.10/contextlib.py:279(helper)
2052/1932    0.024    0.000   98.033    0.051 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:179(_python_pjit_helper)
69477/49636    0.024    0.000    0.044    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/types/abstract.py:121(__hash__)
     2262    0.024    0.000    0.181    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1645(to_jaxpr)
    18459    0.024    0.000    0.273    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:905(read)
 1597/956    0.024    0.000    3.406    0.004 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/types/functions.py:281(get_call_type)
     2532    0.023    0.000    0.055    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:257(_get_fastpath_data)
     8433    0.023    0.000    0.247    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:987(_read1)
     7675    0.023    0.000    0.062    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:211(_array_ir_types)
     1842    0.022    0.000    0.028    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jaxlib/mlir/dialects/_func_ops_gen.py:153(__init__)
    49480    0.022    0.000    0.171    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/_utils.py:16(register)
   157318    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
     4014    0.022    0.000    0.095    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/api_util.py:634(_arg_names)
     3835    0.022    0.000    0.111    0.000 /opt/conda/envs/ml/lib/python3.10/inspect.py:2375(_signature_from_callable)
63147/57668    0.022    0.000    0.022    0.000 {built-in method _abc._abc_subclasscheck}
    43003    0.021    0.000    0.277    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:83(__exit__)
    43003    0.021    0.000    0.223    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:77(__enter__)
7170/6900    0.021    0.000   92.033    0.013 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:941(process_primitive)
     1842    0.021    0.000   34.892    0.019 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2705(_cached_compilation)
62693/60553    0.020    0.000    0.028    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/types/abstract.py:124(__eq__)
     4876    0.020    0.000    0.060    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/utils.py:306(order_by_target_specificity)
13047/2041    0.020    0.000    0.102    0.000 /opt/conda/envs/ml/lib/python3.10/copy.py:128(deepcopy)
     1842    0.020    0.000    0.048    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1395(_dce_jaxpr)
303813/303573    0.020    0.000    3.050    0.000 {method 'extend' of 'list' objects}
     3078    0.020    0.000    0.202    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1890(default_process_primitive)
1962/1842    0.020    0.000    0.863    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1286(_create_pjit_jaxpr)
     2262    0.020    0.000    0.048    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1705(_const_folding_and_forwarding)
     1842    0.019    0.000    0.020    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/cache_key.py:223(_hash_accelerator_config)
     3540    0.019    0.000    0.117    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:604(_read_array_header)
     2508    0.019    0.000    0.089    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/utils.py:57(standard_abstract_eval)
    33538    0.018    0.000    0.038    0.000 {built-in method builtins.sorted}
     3684    0.018    0.000    0.053    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:2593(_vectorize_call)
    11292    0.018    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dispatch.py:171(log_elapsed_time)
      885    0.018    0.000    0.050    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1331(_RealGetContents)
      590    0.018    0.000   17.138    0.029 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/ops/scatter.py:84(_scatter_impl)
    25756    0.018    0.000    0.018    0.000 {method 'read' of '_io.BufferedReader' objects}
28320/3540    0.017    0.000    0.021    0.000 /opt/conda/envs/ml/lib/python3.10/ast.py:84(_convert)
   234324    0.017    0.000    0.017    0.000 {built-in method time.perf_counter}
     2601    0.017    0.000    0.022    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
   119851    0.017    0.000    0.017    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:148(is_end)
   290099    0.017    0.000    0.017    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/targetconfig.py:38(default)
    10453    0.017    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/layout.py:47(from_pjrt_layout)
  256/253    0.017    0.000    0.058    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/postproc.py:179(_patch_var_dels)
    23001    0.017    0.000    0.017    0.000 {method 'tell' of '_io.BufferedReader' objects}
     3684    0.016    0.000    0.029    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:2435(__init__)
     1842    0.016    0.000    0.041    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jaxlib/mlir/dialects/func.py:95(add_entry_block)
     1752    0.016    0.000    0.433    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:656(_match_coo)
     1842    0.016    0.000   96.434    0.052 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1636(_pjit_call_impl_python)
    16887    0.016    0.000    0.066    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1717(__init__)
     1842    0.016    0.000    0.016    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jaxlib/mlir/dialects/func.py:77(type)
    35614    0.016    0.000    0.028    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:564(_get_reference)
     3924    0.016    0.000    0.034    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1367(seen_attrs_get)
     4244    0.016    0.000    0.024    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/sharding_impls.py:1009(get_replicated)
      778    0.015    0.000    0.035    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/analysis.py:118(compute_dead_maps)
    34445    0.015    0.000    0.019    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/builder.py:351(_insert)
     9275    0.015    0.000    0.025    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1468(get_aval)
      590    0.015    0.000    1.852    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:339(_dot)
     1094    0.015    0.000    0.043    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/np/numpy_support.py:380(ufunc_find_matching_loop)
    12552    0.015    0.000    0.016    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:121(__init__)
6975/4770    0.014    0.000    0.210    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typing/context.py:407(install_registry)
     7080    0.014    0.000    0.026    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:795(__init__)
      344    0.014    0.000    0.052    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/slicing.py:2897(_scatter_lower)
    32538    0.014    0.000    0.035    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1754(__hash__)
     3540    0.014    0.000    0.611    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:233(__getitem__)
    91116    0.014    0.000    0.028    0.000 {built-in method builtins.issubclass}
    21386    0.014    0.000    0.014    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dtypes.py:288(canonicalize_dtype)
     1180    0.014    0.000    0.040    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1292(_sort_indices)
    43003    0.014    0.000    0.252    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1249(exit_fn)
     2014    0.014    0.000    0.169    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:1994(lower_per_platform)
    43003    0.014    0.000    0.197    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1246(enter_fn)
     3665    0.014    0.000    0.060    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/dtypes.py:781(_lattice_result_type)
    48325    0.014    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/utils.py:475(stream_list)
     1842    0.014    0.000    0.042    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/cache_key.py:336(_hash_xla_flags)
1962/1842    0.013    0.000    0.899    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/linear_util.py:340(memoized_fun)
     8628    0.013    0.000    0.018    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:1581(make_jaxpr_effects)
     3885    0.013    0.000    0.031    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/core.py:1435(shaped_abstractify)
     1106    0.013    0.000    0.014    0.000 {built-in method io.open}
    14919    0.013    0.000    0.242    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:971(_read_bytes)
     1800    0.013    0.000    0.014    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:1369(diff)
3940/2138    0.013    0.000    2.922    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:455(lower_inst)
     2458    0.013    0.000    0.122    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/instructions.py:68(__init__)
    15137    0.013    0.000    0.013    0.000 {built-in method numpy.asanyarray}
8670/3324    0.013    0.000    0.104    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/runtime/context.py:343(get_meminfos)
     1842    0.013    0.000    0.220    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2659(create_compile_options)
     7041    0.013    0.000    0.022    0.000 /opt/conda/envs/ml/lib/python3.10/inspect.py:2637(__init__)
     3684    0.013    0.000    0.014    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2813(<listcomp>)
     2233    0.013    0.000    0.093    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
     2402    0.013    0.000    0.015    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:1181(_array_global_result_handler)
