Fri Aug  8 08:24:11 2025    morgan/output.prof

         17555703 function calls (16866950 primitive calls) in 41.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      590    0.002    0.000    1.510    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/array_methods.py:790(set)
      590    0.006    0.000    1.508    0.003 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/ops/scatter.py:44(_scatter_update)
      590    0.016    0.000    1.419    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/ops/scatter.py:84(_scatter_impl)
      189    0.001    0.000    1.372    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2414(compile)
      189    0.008    0.000    1.372    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2862(from_hlo)
       22    0.002    0.000    1.333    0.061 /usr/src/app/morgan/trainingDataLib.py:303(<listcomp>)
      189    0.002    0.000    1.329    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2705(_cached_compilation)
       89    0.000    0.000    1.301    0.015 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:789(_finalize_final_module)
       58    0.241    0.004    1.300    0.022 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:4729(concatenate)
      189    0.003    0.000    1.298    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/compiler.py:345(compile_or_get_cached)
      189    0.001    0.000    1.254    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/compiler.py:656(_compile_and_write_cache)
      189    1.239    0.007    1.251    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/compiler.py:288(backend_compile)
       21    1.201    0.057    1.202    0.057 /usr/src/app/morgan/trainingDataLib.py:13(_createLineshape_numba)
  570/556    0.001    0.000    1.099    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:828(concatenate)
       89    0.000    0.000    1.099    0.012 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:1004(_finalize_specific)
    87/60    0.001    0.000    1.079    0.018 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/untyped_passes.py:1626(run_pass)
       30    0.000    0.000    1.046    0.035 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:4788(<listcomp>)
      177    0.000    0.000    1.013    0.006 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:1066(wrapper)
       89    0.000    0.000    1.011    0.011 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
1768/1493    0.003    0.000    0.962    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:664(lower_assign)
       89    0.001    0.000    0.953    0.011 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:667(_optimize_final_module)
  844/721    0.003    0.000    0.922    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:1242(lower_expr)
      590    0.006    0.000    0.902    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/array.py:332(__getitem__)
      618    0.002    0.000    0.899    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:11942(_rewriting_take)
      618    0.031    0.000    0.893    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:11861(_attempt_rewriting_take_via_slice)
      178    0.000    0.000    0.850    0.005 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/passmanagers.py:685(run)
