Wed Aug  6 10:47:05 2025    output.prof

         8957353 function calls (8678762 primitive calls) in 142.250 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.378    0.020 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:667(_optimize_final_module)
       38    0.000    0.000    0.378    0.010 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/binding/passmanagers.py:668(run)
      752    0.352    0.000    0.354    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:904(_dot_coo_coo)
  187/169    0.001    0.000    0.351    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:1186(__call__)
  187/169    0.001    0.000    0.350    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:1215(wrapper)
       19    0.000    0.000    0.345    0.018 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:996(_finalize_specific)
      376    0.327    0.001    0.327    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/math.py:113(<listcomp>)
     9024    0.079    0.000    0.312    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:1486(open)
       40    0.000    0.000    0.311    0.008 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:1058(wrapper)
       19    0.000    0.000    0.310    0.016 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
  387/177    0.001    0.000    0.279    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:261(refresh)
       18    0.000    0.000    0.271    0.015 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:413(__init__)
  405/159    0.001    0.000    0.269    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:153(refresh)
1066311/1064642    0.162    0.000    0.267    0.000 {built-in method builtins.isinstance}
3645/1431    0.008    0.000    0.253    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:428(install_registry)
  405/159    0.001    0.000    0.250    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:415(_load_builtins)
   266/56    0.001    0.000    0.248    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:900(_get_target_registry)
      440    0.001    0.000    0.246    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:67(new_method)
   246/36    0.000    0.000    0.243    0.007 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1047(__init__)
   239/34    0.001    0.000    0.243    0.007 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1093(_init_once)
      440    0.001    0.000    0.240    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:38(__eq__)
      440    0.006    0.000    0.239    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/series.py:6086(_cmp_method)
      387    0.007    0.000    0.228    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/cpu.py:60(load_additional_registries)
    63/61    0.001    0.000    0.223    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:915(lower_call)
     2457    0.026    0.000    0.223    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/series.py:368(__init__)
     1128    0.018    0.000    0.221    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/npyio.py:263(load)
    63/61    0.001    0.000    0.220    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:1157(_lower_call_normal)
     2013    0.008    0.000    0.211    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1354(iterrows)
      142    0.001    0.000    0.207    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:233(__repr__)
50675/48671    0.017    0.000    0.207    0.000 {built-in method builtins.next}
      142    0.001    0.000    0.204    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      142    0.001    0.000    0.204    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:212(<listcomp>)
      369    0.001    0.000    0.202    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:699(__call__)
      512    0.002    0.000    0.198    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:55(pformat)
      444    0.000    0.000    0.195    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1013(__str__)
      512    0.001    0.000    0.195    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:151(pformat)
84645/42122    0.061    0.000    0.195    0.000 {method 'format' of 'str' objects}
      444    0.000    0.000    0.194    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1006(descr)
12017/512    0.015    0.000    0.193    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:163(_format)
24287/24113    0.022    0.000    0.193    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    80088    0.037    0.000    0.189    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:98(_compile)
      376    0.001    0.000    0.188    0.001 <__array_function__ internals>:177(stack)
     1523    0.002    0.000    0.187    0.000 <__array_function__ internals>:177(concatenate)
     4512    0.011    0.000    0.186    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/utils.py:1032(safe_eval)
