Wed Aug  6 12:02:42 2025    output.prof

         11870861 function calls (11437881 primitive calls) in 70.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4512    0.083    0.000    0.883    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/format.py:559(_filter_header)
     1504    0.066    0.000    0.857    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:566(_get_func_coords_data)
      376    0.031    0.000    0.796    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/math.py:101(normalize_peaklist)
      376    0.707    0.002    0.707    0.002 {method 'dot' of 'numpy.ndarray' objects}
     2076    0.035    0.000    0.696    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_umath.py:646(_match_coo)
      220    0.019    0.000    0.691    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/createTrainingData.py:174(getSsmData)
       34    0.000    0.000    0.663    0.020 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:781(_finalize_final_module)
    10377    0.632    0.000    0.632    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    20/18    0.000    0.000    0.628    0.035 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:844(compile_subroutine)
      6/5    0.000    0.000    0.628    0.126 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:806(_compile_subroutine_no_cache)
  344/275    0.001    0.000    0.623    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:1186(__call__)
  344/275    0.001    0.000    0.621    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:1215(wrapper)
    89112    0.223    0.000    0.617    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:429(_tokenize)
       34    0.000    0.000    0.617    0.018 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:667(_optimize_final_module)
       68    0.000    0.000    0.616    0.009 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/binding/passmanagers.py:668(run)
      376    0.260    0.001    0.615    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/qm.py:396(_compile_peaklist)
      6/5    0.000    0.000    0.585    0.117 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:837(compile_internal)
       18    0.000    0.000    0.559    0.031 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:873(compile_internal)
       68    0.001    0.000    0.558    0.008 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:723(add_ir_module)
