,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3398,SU:913,,,,,,,bmse001167,GISSMO,bmse001167
SA:3399,SU:183,,,,,,,bmse000279,GISSMO,bmse000279
SA:3400,SU:1744,,,,,,,bmse001173,GISSMO,bmse001173
SA:3401,SU:65,,,,,,,bmse000245,GISSMO,bmse000245
SA:3402,SU:1631,,,,,,,bmse000537,GISSMO,bmse000537
SA:3403,SU:1277,,,,,,,bmse000286,GISSMO,bmse000286
SA:3404,SU:1674,,,,,,,bmse001198,GISSMO,bmse001198
SA:3405,SU:637,,,,,,,bmse000709,GISSMO,bmse000709
SA:3406,SU:97,,,,,,,bmse000047,GISSMO,bmse000047
SA:3407,SU:822,,,,,,,bmse000906,GISSMO,bmse000906
SA:3408,SU:101,,,,,,,bmse000912,GISSMO,bmse000912
SA:3409,SU:299,,,,,,,bmse000084,GISSMO,bmse000084
SA:3410,SU:78,,,,,,,bmse000090,GISSMO,bmse000090
SA:3411,SU:79,,,,,,,bmse000091,GISSMO,bmse000091
SA:3412,SU:86,,,,,,,bmse000913,GISSMO,bmse000913
SA:3413,SU:434,,,,,,,bmse000052,GISSMO,bmse000052
SA:3414,SU:1643,,,,,,,bmse000734,GISSMO,bmse000734
SA:3415,SU:1987,,,,,,,bmse000046,GISSMO,bmse000046
SA:3416,SU:811,,,,,,,bmse000708,GISSMO,bmse000708
SA:3417,SU:753,,,,,,,bmse000293,GISSMO,bmse000293
SA:3418,SU:127,,,,,,,bmse000287,GISSMO,bmse000287
SA:3419,SU:1609,,,,,,,bmse000536,GISSMO,bmse000536
SA:3420,SU:168,,,,,,,bmse000244,GISSMO,bmse000244
SA:3421,SU:695,,,,,,,bmse001166,GISSMO,bmse001166
SA:3422,SU:1398,,,,,,,bmse000481,GISSMO,bmse000481
SA:3423,SU:331,,,,,,,bmse000442,GISSMO,bmse000442
SA:3424,SU:755,,,,,,,bmse000324,GISSMO,bmse000324
SA:3425,SU:294,,,,,,,bmse000330,GISSMO,bmse000330
SA:3426,SU:1220,,,,,,,bmse000318,GISSMO,bmse000318
SA:3427,SU:111,,,,,,,bmse000867,GISSMO,bmse000867
SA:3428,SU:28,,,,,,,bmse000873,GISSMO,bmse000873
SA:3429,SU:1698,,,,,,,bmse000640,GISSMO,bmse000640
SA:3430,SU:1462,,,,,,,bmse000654,GISSMO,bmse000654
SA:3431,SU:66,,,,,,,bmse000132,GISSMO,bmse000132
SA:3432,SU:1734,,,,,,,bmse000668,GISSMO,bmse000668
SA:3433,SU:157,,,,,,,bmse000118,GISSMO,bmse000118
SA:3434,SU:461,,,,,,,bmse000124,GISSMO,bmse000124
SA:3435,SU:559,,,,,,,bmse000130,GISSMO,bmse000130
SA:3436,SU:64,,,,,,,bmse000871,GISSMO,bmse000871
SA:3437,SU:100,,,,,,,bmse000859,GISSMO,bmse000859
SA:3438,SU:1046,,,,,,,bmse000681,GISSMO,bmse000681
SA:3439,SU:965,,,,,,,bmse000695,GISSMO,bmse000695
SA:3440,SU:862,,,,,,,bmse000468,GISSMO,bmse000468
SA:3441,SU:1619,,,,,,,bmse001010,GISSMO,bmse001010
SA:3442,SU:90,,,,,,,bmse000326,GISSMO,bmse000326
SA:3443,SU:1956,,,,,,,bmse000440,GISSMO,bmse000440
SA:3444,SU:541,,,,,,,bmse000454,GISSMO,bmse000454
SA:3445,SU:1676,,,,,,,bmse000483,GISSMO,bmse000483
SA:3446,SU:725,,,,,,,bmse000508,GISSMO,bmse000508
SA:3447,SU:644,,,,,,,bmse000252,GISSMO,bmse000252
SA:3448,SU:1799,,,,,,,bmse000520,GISSMO,bmse000520
SA:3449,SU:1944,,,,,,,bmse001158,GISSMO,bmse001158
SA:3450,SU:20,,,,,,,bmse000246,GISSMO,bmse000246
SA:3451,SU:1478,,,,,,,bmse000291,GISSMO,bmse000291
SA:3452,SU:58,,,,,,,bmse000285,GISSMO,bmse000285
SA:3453,SU:40,,,,,,,bmse000078,GISSMO,bmse000078
SA:3454,SU:1988,,,,,,,bmse000736,GISSMO,bmse000736
SA:3455,SU:460,,,,,,,bmse000050,GISSMO,bmse000050
SA:3456,SU:341,,,,,,,bmse000044,GISSMO,bmse000044
SA:3457,SU:1821,,,,,,,bmse000722,GISSMO,bmse000722
SA:3458,SU:232,,,,,,,bmse000905,GISSMO,bmse000905
SA:3459,SU:599,,,,,,,bmse000093,GISSMO,bmse000093
SA:3460,SU:256,,,,,,,bmse000092,GISSMO,bmse000092
SA:3461,SU:1628,,,,,,,bmse000904,GISSMO,bmse000904
SA:3462,SU:95,,,,,,,bmse000045,GISSMO,bmse000045
SA:3463,SU:1809,,,,,,,bmse000723,GISSMO,bmse000723
SA:3464,SU:94,,,,,,,bmse000051,GISSMO,bmse000051
SA:3465,SU:574,,,,,,,bmse000079,GISSMO,bmse000079
SA:3466,SU:1702,,,,,,,bmse000284,GISSMO,bmse000284
SA:3467,SU:140,,,,,,,bmse000290,GISSMO,bmse000290
SA:3468,SU:1833,,,,,,,bmse000521,GISSMO,bmse000521
SA:3469,SU:1915,,,,,,,bmse001159,GISSMO,bmse001159
SA:3470,SU:1736,,,,,,,bmse000496,GISSMO,bmse000496
SA:3471,SU:13,,,,,,,bmse000455,GISSMO,bmse000455
SA:3472,SU:17,,,,,,,bmse000333,GISSMO,bmse000333
SA:3473,SU:848,,,,,,,bmse000327,GISSMO,bmse000327
