Mon Aug 11 11:19:47 2025    morgan/output.prof

         29177502 function calls (28676758 primitive calls) in 175.382 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7052    0.101    0.000    0.780    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:393(__init__)
   519060    0.099    0.000    0.368    0.000 /opt/conda/envs/ml/lib/python3.10/abc.py:117(__instancecheck__)
    86455    0.098    0.000    0.164    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexes/base.py:3784(get_loc)
    84624    0.098    0.000    0.240    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1039(close)
    42312    0.095    0.000    0.558    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:978(linear_loc)
    10578    0.093    0.000    1.441    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:308(load)
    20525    0.093    0.000    0.376    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/construction.py:517(sanitize_array)
   193284    0.090    0.000    0.390    0.000 {built-in method builtins.any}
    14104    0.090    0.000    0.099    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:1369(diff)
     2120    0.090    0.000  171.990    0.081 /usr/src/app/morgan/createTrainingData.py:92(generateSignal)
    26563    0.089    0.000    0.130    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:6255(__finalize__)
    17556    0.085    0.000    0.090    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:179(_get_reduced_coords)
   190404    0.084    0.000    0.084    0.000 {built-in method _struct.unpack}
     7052    0.082    0.000    0.812    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:340(from_numpy)
     2120    0.082    0.000    0.189    0.000 /usr/src/app/morgan/trainingDataLib.py:146(<listcomp>)
     7052    0.078    0.000    0.381    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1353(_prune)
   390675    0.078    0.000    0.087    0.000 {built-in method builtins.hasattr}
   125707    0.077    0.000    0.077    0.000 {built-in method numpy.empty}
    17630    0.075    0.000    0.542    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:722(transpose)
    28208    0.074    0.000    0.199    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:130(filterwarnings)
    42312    0.074    0.000    0.086    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:348(__init__)
    49389    0.071    0.000    0.286    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:1104(__getitem__)
    49281    0.071    0.000    0.071    0.000 {built-in method numpy.frombuffer}
   220264    0.070    0.000    0.241    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:35(<genexpr>)
    56708    0.070    0.000    0.070    0.000 {method 'astype' of 'numpy.ndarray' objects}
    28208    0.065    0.000    0.068    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
    56416    0.064    0.000    0.125    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:181(_add_filter)
   100454    0.062    0.000    0.086    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2120    0.062    0.000  140.634    0.066 /usr/src/app/morgan/trainingDataLib.py:124(peakListFromSpinSystemMatrix)
    10578    0.062    0.000    0.849    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1221(__init__)
   200908    0.061    0.000    0.061    0.000 {built-in method _abc._abc_subclasscheck}
    10578    0.057    0.000    0.057    0.000 {method 'close' of '_io.BufferedReader' objects}
   304888    0.056    0.000    0.056    0.000 {method 'rpartition' of 'str' objects}
    26564    0.056    0.000    0.070    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:278(__init__)
     2120    0.056    0.000   31.266    0.015 /usr/src/app/morgan/trainingDataLib.py:60(createLineshape)
    84624    0.055    0.000    0.055    0.000 {function ZipExtFile.close at 0x7fb70b36c9d0}
     8778    0.054    0.000    0.063    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:53(_match_arrays)
    36663    0.053    0.000    0.192    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:6320(__setattr__)
    10578    0.053    0.000    0.967    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:183(__init__)
59942/17630    0.053    0.000    0.217    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:367(normalize_axis)
     8080    0.053    0.000    0.118    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
    61609    0.051    0.000    0.084    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
   213211    0.051    0.000    0.051    0.000 {built-in method builtins.max}
    31734    0.051    0.000    0.274    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:569(_parse_args)
    84624    0.050    0.000    0.116    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:703(_get_decompressor)
     3526    0.050    0.000    1.727    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:5483(array)
    21156    0.050    0.000    0.129    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:210(close)
   183352    0.050    0.000    0.253    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:438(<genexpr>)
     3526    0.049    0.000   19.526    0.006 /usr/src/app/morgan/qm.py:207(hamiltonian_sparse)
     7052    0.049    0.000    0.316    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:505(_get_fill_value)
   126936    0.049    0.000    0.093    0.000 /opt/conda/envs/ml/lib/python3.10/encodings/cp437.py:14(decode)
     4040    0.049    0.000    0.084    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexers/utils.py:239(maybe_convert_indices)
    73882    0.049    0.000    0.049    0.000 {built-in method numpy.zeros}
    17630    0.048    0.000    0.079    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:621(__str__)
   190127    0.048    0.000    0.048    0.000 {built-in method builtins.min}
    95202    0.048    0.000    0.048    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1952(_fpclose)
    17630    0.047    0.000    0.152    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    79170    0.047    0.000    0.047    0.000 {method 'flush' of 'zlib.Decompress' objects}
    31734    0.047    0.000    0.187    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:532(<genexpr>)
    21156    0.046    0.000    0.140    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/_dtype.py:350(_name_get)
    84624    0.045    0.000    0.045    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:722(__init__)
    56416    0.045    0.000    0.045    0.000 {method 'remove' of 'list' objects}
    10578    0.045    0.000    0.207    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:260(_EndRecData)
    84624    0.044    0.000    0.088    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:754(close)
   126936    0.044    0.000    0.044    0.000 {built-in method _codecs.charmap_decode}
     3526    0.044    0.000    0.044    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:719(<listcomp>)
   414424    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
     8080    0.043    0.000    0.045    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:550(maybe_promote)
    14104    0.043    0.000    0.043    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    42312    0.043    0.000    0.045    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:303(descr_to_dtype)
    97047    0.042    0.000    0.785    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:940(_update_crc)
    49389    0.042    0.000    0.140    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:1229(_get_value)
     3526    0.042    0.000    0.219    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:386(todense)
    42312    0.041    0.000    0.685    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:225(read_magic)
    18483    0.041    0.000    1.159    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/frame.py:1510(iterrows)
    20503    0.041    0.000    0.170    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/internals/managers.py:1863(from_array)
    28583    0.040    0.000    0.060    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:734(name)
    28208    0.040    0.000    0.044    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:458(__enter__)
    22808    0.040    0.000    0.380    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
    95322    0.039    0.000    0.039    0.000 {built-in method numpy.asanyarray}
    28583    0.038    0.000    0.090    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:6303(__getattr__)
    48508    0.038    0.000    0.367    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   200908    0.038    0.000    0.099    0.000 /opt/conda/envs/ml/lib/python3.10/abc.py:121(__subclasscheck__)
    84624    0.038    0.000    0.038    0.000 {built-in method zlib.decompressobj}
    20503    0.038    0.000    0.064    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2789(new_block)
   281532    0.037    0.000    0.037    0.000 {method '__exit__' of '_thread.RLock' objects}
    84624    0.037    0.000    0.052    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1448(getinfo)
     3526    0.037    0.000  114.365    0.032 /usr/src/app/morgan/qm.py:428(solve_hamiltonian)
   281532    0.037    0.000    0.037    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:1538(<lambda>)
    56194    0.037    0.000    0.037    0.000 {method 'view' of 'numpy.ndarray' objects}
     2020    0.037    0.000    0.125    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/internals/managers.py:1707(_interleave)
    47564    0.036    0.000    0.067    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:85(_zero_of_dtype)
     7052    0.035    0.000    3.837    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:322(__array_ufunc__)
    14104    0.035    0.000    0.448    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:562(check_zero_fill_value)
    65649    0.035    0.000    0.041    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/internals/managers.py:2004(internal_values)
   156796    0.035    0.000    0.035    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:154(<genexpr>)
    14140    0.032    0.000    0.034    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexes/base.py:5335(__contains__)
    28208    0.032    0.000    0.056    0.000 /opt/conda/envs/ml/lib/python3.10/re.py:288(_compile)
   220264    0.032    0.000    0.032    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:38(<genexpr>)
     3526    0.032    0.000    0.325    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:85(_normalize)
    28208    0.031    0.000    0.111    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:165(simplefilter)
    95202    0.031    0.000    0.031    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:668(_check_compression)
    35260    0.030    0.000    0.179    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:95(_get_nary_broadcast_shape)
     4040    0.029    0.000    0.074    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexes/base.py:1153(take)
    10578    0.029    0.000    0.880    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:91(zipfile_factory)
    42312    0.029    0.000    0.712    0.000 /opt/conda/envs/ml/lib/python3.10/ast.py:33(parse)
   158670    0.029    0.000    0.029    0.000 {built-in method sys.intern}
     7052    0.029    0.000    0.263    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:557(_check_broadcast)
    97677    0.029    0.000    0.069    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
    35260    0.028    0.000    0.173    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:597(<genexpr>)
   135714    0.028    0.000    0.028    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:552(dtype)
     6060    0.028    0.000    0.158    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/frame.py:4067(__getitem__)
    20504    0.028    0.000    0.033    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/_config/config.py:635(_get_root)
     7052    0.028    0.000    0.062    0.000 /opt/conda/envs/ml/lib/python3.10/importlib/_common.py:60(get_package)
    28208    0.028    0.000    0.030    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:477(__exit__)
    11000    0.027    0.000    0.075    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
   145216    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
   114333    0.027    0.000    0.041    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexes/base.py:912(__len__)
     7052    0.027    0.000    0.846    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1546(as_coo)
    39426    0.027    0.000    0.027    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/serialize.py:30(_numba_unpickle)
    97677    0.026    0.000    0.039    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:37(_check)
    17630    0.026    0.000    0.229    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
     4040    0.026    0.000    0.149    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexers/utils.py:419(check_array_indexer)
    24543    0.026    0.000    0.081    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:784(name)
    22808    0.025    0.000    0.251    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_stride_tricks_impl.py:546(<listcomp>)
     7052    0.025    0.000   15.442    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/profiler.py:330(wrapper)
     3526    0.025    0.000    0.037    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:310(_get_matching_coords)
    43964    0.025    0.000    0.272    0.000 {method 'all' of 'numpy.ndarray' objects}
    74046    0.025    0.000    0.025    0.000 {built-in method _functools.reduce}
     7052    0.025    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
   169248    0.025    0.000    0.025    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:730(tell)
     7052    0.025    0.000    0.111    0.000 /opt/conda/envs/ml/lib/python3.10/importlib/readers.py:15(resource_path)
     3526    0.025    0.000    1.340    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:545(_convert_element_type)
    28208    0.025    0.000    0.025    0.000 /opt/conda/envs/ml/lib/python3.10/warnings.py:437(__init__)
    20503    0.025    0.000    0.081    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:807(_set_axis)
    20503    0.025    0.000    0.045    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2718(maybe_coerce_values)
    42312    0.025    0.000    0.034    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:999(isfileobj)
   118010    0.025    0.000    0.033    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:93(ndim)
    31734    0.024    0.000    0.030    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:239(splitroot)
     3526    0.024    0.000    7.694    0.002 /usr/src/app/morgan/qm.py:124(_so_sparse)
    17630    0.024    0.000    0.176    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3328(prod)
    10578    0.024    0.000    0.029    0.000 {built-in method builtins.sorted}
    65649    0.023    0.000    0.064    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/series.py:831(_values)
    14104    0.023    0.000    0.033    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:865(parent)
    11000    0.023    0.000    0.098    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2477(any)
    14104    0.023    0.000    0.033    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_utils.py:349(isscalar)
    17630    0.022    0.000    0.112    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:615(_make_child)
     7052    0.022    0.000    0.049    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:1474(asformat)
    17630    0.022    0.000    0.031    0.000 /opt/conda/envs/ml/lib/python3.10/pathlib.py:608(_format_parsed_parts)
    20504    0.022    0.000    0.054    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/_config/config.py:127(_get_single_key)
     5252    0.022    0.000    0.022    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:717(<listcomp>)
     6160    0.021    0.000    0.951    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/indexing.py:1176(__getitem__)
     3526    0.021    0.000    0.021    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:720(<listcomp>)
    27352    0.021    0.000    0.321    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:1130(argsort)
     4040    0.021    0.000    0.473    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/pandas/core/generic.py:4046(take)
